"JD" "VW1" "VW1_max" "TA1"
341.15 11.45 13.48 -18.167
341.18 9.16 10.94 -16.408
341.21 7.86 9.06 -14.871
342 8.68 10.26 -15.46
342.03 7.69 9.5 -17.048
342.06 8.81 9.95 -19.49
342.09 10.9 11.57 -19.475
342.12 11.24 12.87 -21.266
342.15 13.33 13.96 -21.601
342.18 12.63 13.9 -22.071
342.21 13.63 14.86 -24.634
343 14.18 15.89 -24.413
343.03 13.46 14.58 -23.477
343.06 12.15 13.52 -24.204
343.09 10.12 11.28 -24.175
343.12 6.343 8.81 -24.82
343.15 4.648 5.479 -25.767
343.18 5.421 6.491 -21.687
343.21 7.22 7.88 -21.294
344 7.28 10.87 -26.012
344.03 10.13 11.43 -26.028
344.06 10.62 12.25 -25.292
344.09 12.84 13.9 -21.461
344.12 13.7 14.86 -17.874
344.15 14.02 15.41 -14.9
344.18 14.33 15.68 -13.613
344.21 15.57 16.66 -12.072
345 15.38 16.12 -11.495
345.03 13.8 16.42 -11.343
345.06 9.3 11.99 -11.494
345.09 6.216 7.27 -13.29
345.12 4.105 5.34 -12.615
345.15 4.999 6.978 -13.349
345.18 6.216 6.848 -17.588
345.21 8.54 10.22 -19.734
346 11.04 12.08 -18.542
346.03 8.35 9.24 -16.786
346.06 6.326 9.33 -18.307
346.09 7.61 9.38 -19.447
346.12 10.46 12.41 -21.723
346.15 13.49 15.55 -21.678
346.18 14.24 15 -22.089
346.21 14.97 15.71 -21.18
347 13.82 14.53 -19.35
347.03 12.86 14.04 -19.219
347.06 11.91 13.28 -16.182
347.09 9.97 11.94 -17.767
347.12 8.36 9.6 -20.637
347.15 5.82 7.22 -23.732
347.18 4.459 6.717 -28.399
347.21 5.697 7.43 -28.467
348 7.63 9.09 -27.369
348.03 9.03 9.4 -26.268
348.06 7.96 8.73 -24.572
348.09 6.538 7.73 -24.179
348.12 7.98 9.16 -21.493
348.15 7.74 8.36 -19.044
348.18 7.41 8.26 -19.321
348.21 6.56 7.32 -18.631
349 6.844 7.5 -18.177
349.03 7.49 8.32 -15.332
349.06 8.53 9.27 -14.206
349.09 8.78 9.14 -13.19
349.12 8.5 9.49 -12.093
349.15 9.87 10.75 -11.817
349.18 9.33 11.07 -12.511
349.21 12.26 14.79 -12.677
350 12.96 14.48 -11.602
350.03 10.56 11.63 -12.719
350.06 8.84 9.6 -16.101
350.09 9.53 11.17 -17.746
350.12 9.95 10.77 -16.123
350.15 10.1 11.28 -17.048
350.18 13.02 14.5 -21.28
350.21 10.37 11.48 -23.357
351 11.46 12.12 -23.973
351.03 8.56 11.71 -26.141
351.06 7.03 8.64 -22.944
351.09 5.172 7.06 -22.683
351.12 2.101 3.5 -27.458
351.15 3.666 4.861 -29.311
351.18 3.62 3.989 -29.636
351.21 3.951 4.246 -31.829
352 3.708 4.227 -28.219
352.03 3.295 3.897 -25.992
352.06 4.813 6.199 -30.48
352.09 6.687 7.23 -29.993
352.12 6.931 7.44 -31.166
352.15 7.24 7.75 -31.628
352.18 5.965 7.15 -31.643
352.21 5.028 5.459 -29.221
353 5.611 6.058 -29.875
353.03 5.561 6.385 -31.304
353.06 6.071 6.893 -31.811
353.09 5.903 6.736 -34.604
353.12 7.21 8.21 -35.573
353.15 8.5 9.3 -36.055
353.18 9.12 9.96 -36.025
353.21 10.53 11.84 -33.294
354 12.32 12.66 -33.136
354.03 12.75 13.46 -31.872
354.06 13.09 13.92 -30.81
354.09 13.09 14.48 -29.793
354.12 13.69 14.39 -29.528
354.15 11.77 13.24 -28.177
354.18 9.21 11.18 -27.408
354.21 7.56 8.29 -27.302
355 5.735 7.16 -28.779
355.03 4.017 5.022 -34.025
355.06 4.878 5.67 -34.08
355.09 6.723 7.43 -35.089
355.12 7.89 9.11 -33.087
355.15 8.65 9.09 -30.923
355.18 8.72 9.25 -32.884
355.21 7.64 8.86 -34.899
356 7.95 9.73 -36.042
356.03 9.54 10.43 -36.619
356.06 9.54 10.03 -37.137
356.09 10.56 11.67 -35.539
356.12 12.82 13.54 -34.859
356.15 14.4 15.03 -33.516
356.18 15.58 16.97 -32.048
356.21 14.08 15.07 -30.3
357 14.02 14.66 -28.688
357.03 12.23 13.24 -26.408
357.06 11.09 11.77 -24.108
357.09 10.67 11.44 -23.978
357.12 11.52 12.58 -23.622
357.15 11.21 11.84 -20.96
357.18 10.17 10.8 -18.202
357.21 9.26 10.12 -16.133
358 10.62 12.24 -15.873
358.03 10.86 11.81 -13.873
358.06 11.91 13.19 -12.179
358.09 10.7 12.93 -11.038
358.12 7.38 8.63 -11.169
358.15 8.4 11.6 -11.387
358.18 10.52 11.36 -10.927
358.21 11.27 11.96 -10.728
359 11.17 12.5 -9.823
359.03 8.15 9.5 -11.408
359.06 10.24 10.87 -12.863
359.09 13.04 15.39 -16.047
359.12 15.74 17.11 -13.89
359.15 16.92 20.57 -10.882
359.18 13.18 14.77 -10.233
359.21 12.59 17.69 -10.794
360 15.05 20.22 -17.557
360.03 9.2 11.1 -21.601
360.06 9.21 9.99 -20.73
360.09 7.85 8.23 -20.795
360.12 8.52 10.54 -17.562
360.15 10.61 11.06 -12.409
360.18 15.84 19.09 -6.911
360.21 20.25 21.6 -7.09
361 20.01 21.27 -7.694
361.03 12.61 17.82 -8.815
361.06 10.68 13.56 -10.726
361.09 9.47 12.14 -10.548
361.12 7.87 10.6 -11.601
361.15 10.86 12.54 -12.902
361.18 6.349 10.64 -16.98
361.21 3.937 5.128 -16.209
362 4.912 5.487 -18.237
362.03 6.109 7.62 -25.276
362.06 7.93 9.01 -26.364
362.09 7.88 8.58 -26.209
362.12 8.15 8.56 -27.416
362.15 9.24 9.91 -29.206
362.18 9.73 11.13 -29.033
362.21 10.01 10.83 -30.326
363 9.81 10.44 -29.442
363.03 8.75 9.22 -31.152
363.06 8.69 9.28 -30.799
363.09 11.96 13.52 -27.989
363.12 12.61 14.6 -24.981
363.15 16.52 18.42 -22.896
363.18 17.85 19.5 -21.13
363.21 13.69 16.53 -14.826
364 13.31 16.08 -13.455
364.03 11.68 13.25 -12.493
364.06 11.61 13.18 -13.028
364.09 9.49 12.86 -17.833
364.12 8.9 10.27 -21.011
364.15 10.21 11.53 -21.906
364.18 12.1 13.27 -23.562
364.21 9.59 12.27 -24.762
365 6.671 7.77 -26.185
365.03 7.48 8.43 -28.828
365.06 8.83 10.04 -29.149
365.09 8.46 9.23 -28.961
365.12 7.62 8.33 -31.725
365.15 7.52 8.59 -30.355
365.18 5.931 6.685 -36.065
365.21 4.838 5.413 -36.049
1 4.172 4.889 -36.883
1.03 3.686 4.114 -32.863
1.06 4.516 4.987 -34.149
1.09 5.419 6.452 -35.579
1.12 6.378 7.38 -34.484
1.15 7.11 8.28 -36.425
1.18 7.38 7.93 -37.036
1.21 7.89 8.34 -37.47
2 8.3 8.97 -39.865
2.03 8.5 9.26 -40.354
2.06 10.08 10.53 -41.109
2.09 10.91 11.5 -42.002
2.12 10.18 11.15 -41.019
2.15 10.43 11.26 -40.657
2.18 9.68 10.59 -38.939
2.21 10.37 10.94 -38.389
3 10.8 11.75 -38.367
3.03 10.84 12.08 -36.763
3.06 12 12.27 -36.366
3.09 11.31 11.86 -34.767
3.12 12.12 12.49 -33.711
3.15 12.34 12.99 -33.203
3.18 11.77 12.65 -31.383
3.21 10.93 11.71 -28.726
4 9.08 10.52 -28.968
4.03 9.47 10.36 -30.447
4.06 9.36 10.08 -31.282
4.09 7.58 7.93 -33.551
4.12 6.77 7.33 -33.901
4.15 6.248 6.626 -35.853
4.18 5.549 6.4 -33.704
4.21 6.031 6.544 -35.586
5 6.198 7.21 -36.336
5.03 7.5 9.7 -37.521
5.06 9.62 10.9 -37.944
5.09 12.84 14.86 -38.754
5.12 15.25 16.36 -36.507
5.15 16.52 17.14 -35.298
5.18 16.23 16.77 -32.873
5.21 15.42 16.91 -30.799
6 16.75 17.61 -30.831
6.03 16.67 17.12 -29.296
6.06 16.29 17.2 -28.096
6.09 14.87 16.76 -26.796
6.12 14.36 15.4 -25.787
6.15 13.88 15.31 -22.459
6.18 13.16 14.75 -19.166
6.21 8.85 11.59 -17.309
7 7.99 9.19 -15.653
7.03 8.16 8.93 -14.922
7.06 4.354 8.34 -17.479
7.09 3.009 3.986 -18.848
7.12 5.832 7.01 -17.736
7.15 8.19 10 -14.883
7.18 9.73 10.99 -12.639
7.21 11.8 12.93 -11.925
8 11.22 14.31 -9.869
8.03 12.11 14.87 -10.257
8.06 8.45 9.32 -10.234
8.09 7.29 9.1 -10.006
8.12 5.2 7.2 -18.853
8.15 6.854 7.96 -22.704
8.18 7.31 8.06 -25.678
8.21 6.316 7.66 -28.065
9 5.205 6.089 -31.286
9.03 6.011 7.27 -32.208
9.06 7.44 8.76 -34.97
9.09 8.36 9.97 -32.753
9.12 9.98 10.86 -32.492
9.15 10.36 11.07 -30.333
9.18 10.28 11.33 -27.784
9.21 10.03 11.15 -25.231
10 10.62 11.42 -23.545
10.03 9.22 10.32 -23.185
10.06 8.56 9.41 -21.736
10.09 7.64 8.6 -19.244
10.12 7.16 7.79 -19.811
10.15 8.24 9.18 -17.376
10.18 7.68 8.28 -15.927
10.21 8.85 11.06 -15.763
11 11.16 12.11 -14.223
11.03 12.37 13.25 -13.333
11.06 13.35 15.44 -13.949
11.09 8.9 11.26 -12.987
11.12 11.02 11.95 -12.843
11.15 11.93 12.8 -13.372
11.18 10.83 11.83 -12.072
11.21 11.87 13.04 -12.156
12 12.92 15.17 -14.356
12.03 14.36 15.02 -14.592
12.06 12.8 14.06 -14.356
12.09 10.86 11.9 -16.085
12.12 8.99 10.36 -19.35
12.15 7.72 8.81 -21.439
12.18 8.29 8.92 -20.292
12.21 7.41 8.03 -19.963
13 5.828 7.64 -24.032
13.03 6.119 6.908 -23.004
13.06 5.539 7.02 -26.523
13.09 4.007 4.67 -29.889
13.12 4.518 4.953 -29.198
13.15 4.326 4.98 -28.934
13.18 6.898 8.07 -25.132
13.21 6.853 8.39 -24.129
14 7.95 9.57 -24.07
14.03 8.45 9.23 -23.956
14.06 8.49 9.07 -23.198
14.09 7.47 9.15 -24.28
14.12 8.7 9.51 -25.855
14.15 8.67 9.47 -25.087
14.18 7.5 8.34 -28.425
14.21 9.04 10.05 -26.193
15 11.42 13 -23.643
15.03 11.88 13.51 -20.758
15.06 11.6 12.29 -18.819
15.09 9.75 11.96 -17.516
15.12 8.91 10.2 -16.51
15.15 9.15 10.83 -14.786
15.18 5.565 7.7 -14.803
15.21 5.518 6.152 -14.281
16 6.986 8.64 -12.325
16.03 7.64 8.77 -11.517
16.06 7 8.18 -9.052
16.09 9.81 11.44 -10.683
16.12 11.85 13.13 -8.503
16.15 11.45 13.04 -4.03
16.18 13.9 15.31 -3.577
16.21 15.47 16.8 -5.225
17 15.83 17.21 -5.035
17.03 14.58 16.29 -5.95
17.06 17.79 19.27 -4.288
17.09 16.55 17.91 -4.318
17.12 18.24 20.96 -3.293
17.15 11.37 17.8 -7.371
17.18 5.813 8.08 -10.457
17.21 7.16 9 -10.969
18 6.603 10.35 -13.902
18.03 12.91 16.97 -13.448
18.06 15.38 16.64 -12.364
18.09 17.19 20.81 -7.345
18.12 20.6 23.87 -6.214
18.15 13.17 16.54 -3.259
18.18 21.6 24.88 -3.952
18.21 18.36 20.79 -4.901
19 13.93 16.85 -7.471
19.03 9.16 11.93 -9.637
19.06 6.401 8.82 -10.659
19.09 9.87 12.21 -12.279
19.12 13.59 16.6 -13.725
19.15 13.68 14.7 -14.084
19.18 12.02 13.71 -14.529
19.21 11.94 15.06 -13.569
20 13.97 16.21 -9.545
20.03 17.71 20.43 -8.6
20.06 13.98 20.25 -8.04
20.09 18.83 23.02 -8.72
20.12 21.25 23.87 -10.57
20.15 20.73 22.05 -11.536
20.18 19.23 20.63 -12.551
20.21 13.48 16.74 -12.07
21 7.68 10.43 -12.82
21.03 8.93 12.53 -7.966
21.06 6.982 9.81 -14.159
21.09 5.871 7.25 -16.749
21.12 7.35 8.04 -15.938
21.15 8.44 10.38 -16.696
21.18 9.64 10.42 -17.314
21.21 9.17 10.17 -18.302
22 9.34 10.38 -19.653
22.03 9.44 10.89 -20.306
22.06 7.89 10.08 -21.493
22.09 6.188 6.912 -20.992
22.12 8.53 9.67 -21.543
22.15 9.78 10.47 -22.809
22.18 10 10.57 -22.765
22.21 9.25 10.82 -23.374
23 11.24 12.2 -26.197
23.03 12.39 13.19 -25.751
23.06 12.71 13.95 -24.305
23.09 14.2 15.39 -25.851
23.12 13.58 14.35 -27.314
23.15 13.01 14 -26.052
23.18 8.94 10.14 -25.459
23.21 6.923 7.55 -24.878
24 8 9.03 -24.572
24.03 9.26 11.15 -25.1
24.06 11.75 12.44 -25.759
24.09 11.37 12.79 -27.408
24.12 13.02 14.07 -27.711
24.15 13.57 14.16 -28.115
24.18 14.58 16.18 -28.246
24.21 13.37 14.55 -26.032
25 15.35 16.29 -21.946
25.03 15.95 17.41 -19.796
25.06 17.81 19.26 -15.371
25.09 16.03 19.08 -12.473
25.12 15.83 17.44 -12.137
25.15 16.84 18.54 -9.265
25.18 18.59 19.8 -8.863
25.21 17.66 19.21 -9.147
26 16.52 17.93 -8.719
26.03 16.77 17.56 -7.167
26.06 15.97 18.57 -8.527
26.09 8.24 14.16 -18.137
26.12 5.138 7.88 -15.758
26.15 1.874 2.827 -18.853
26.18 2.98 4.239 -22.23
26.21 3.604 4.071 -25.034
27 2.853 4.086 -25.132
27.03 3.191 4.062 -26.233
27.06 4.458 5.194 -26.06
27.09 4.733 5.309 -26.824
27.12 3.954 4.748 -28.158
27.15 4.129 5.581 -30.071
27.18 5.782 6.641 -28.601
27.21 6.904 7.86 -30.137
28 7.72 9.05 -32.619
28.03 9.78 11.23 -31.582
28.06 11.68 12.39 -31.47
28.09 11.43 13.15 -30.407
28.12 12.4 14 -29.808
28.15 14.73 16.01 -30.333
28.18 15.11 17.07 -20.18
28.21 11.39 13.32 -16.025
29 10.08 12.08 -13.972
29.03 12.05 17.07 -22.944
29.06 15.33 18.38 -23.28
29.09 10.94 13.48 -22.726
29.12 10.51 11.91 -24.179
29.15 10.15 12.11 -26.348
29.18 11.94 12.41 -26.82
29.21 11.59 12.26 -27.606
30 10.4 11.36 -30.241
30.03 11.35 12.99 -30.528
30.06 13.14 13.72 -32.531
30.09 10.81 12.14 -35.519
30.12 12.43 13.81 -36.005
30.15 9.56 11.41 -34.801
30.18 8.75 9.5 -35.112
30.21 8.65 9.38 -35.065
31 8.75 9.09 -34.44
31.03 9.38 9.98 -34.76
31.06 9.4 10.2 -33.161
31.09 8.63 9.44 -31.646
31.12 9.05 9.52 -30.915
31.15 8.42 9.42 -31.144
31.18 7.37 9.05 -31.253
31.21 7.49 8.84 -34.372
32 7.77 8.99 -32.947
32.03 8.15 9.27 -33.621
32.06 8.1 9.26 -32.368
32.09 7.66 9.01 -30.693
32.12 6.527 7.25 -30.915
32.15 8.76 9.44 -27.244
32.18 8.18 8.83 -27.544
32.21 8.54 9.45 -26.096
33 9.15 10.2 -24.234
33.03 8.58 9.25 -23.16
33.06 9.16 10.43 -22.792
33.09 9.61 11.74 -23.172
33.12 9.46 11.18 -23.545
33.15 7.27 7.99 -23.404
33.18 7.08 7.71 -22.142
33.21 7.17 8.15 -22.066
34 9.43 11.03 -23.271
34.03 9.65 12.28 -27.521
34.06 6.826 8.6 -31.362
34.09 4.879 6.779 -36.376
34.12 5.494 6.893 -37.457
34.15 6.007 6.969 -39.154
34.18 5.635 6.396 -41.408
34.21 5.607 5.929 -41.706
35 5.76 6.235 -42.15
35.03 6.065 6.532 -42.327
35.06 6.862 7.28 -41.258
35.09 6.537 6.999 -41.228
35.12 6.456 6.82 -41.258
35.15 5.555 6.199 -41.318
35.18 4.182 4.943 -41.378
35.21 3.37 4.849 -44.05
36 3.364 4.385 -44.515
36.03 5.285 7.04 -45.389
36.06 5.759 7.18 -44.747
36.09 6.613 7.26 -46.153
36.12 6.444 7.53 -43.846
36.15 7.44 7.67 -41.913
36.18 7.12 7.52 -41.765
36.21 7.41 7.85 -41.706
37 7.93 8.33 -40.627
37.03 7.9 8.78 -40.868
37.06 8.8 9.14 -40.14
37.09 8.48 9.53 -40.445
37.12 7.76 8.23 -40.988
37.15 7.69 8.79 -40.506
37.18 7.67 7.98 -39.65
37.21 7.65 8.13 -41.438
38 7.74 8.2 -38.606
38.03 7.86 8.5 -38.628
38.06 9.09 9.85 -35.883
38.09 9.46 10.59 -36.955
38.12 9.78 10.71 -34.307
38.15 9.81 11.35 -32.676
38.18 9.21 9.88 -31.958
38.21 8.25 9.32 -31.264
39 6.901 7.97 -31.286
39.03 6.553 7.85 -32.732
39.06 5.529 6.475 -35.532
39.09 5.64 6.422 -37.499
39.12 5.835 6.287 -40.778
39.15 6.252 6.951 -40.354
39.18 6.502 7.16 -40.079
39.21 7.04 8.25 -41.199
40 8.3 8.79 -40.475
40.03 8.02 8.79 -39.65
40.06 9.33 10.33 -40.566
40.09 9.07 9.71 -40.079
40.12 9.89 10.73 -39.185
40.15 10.21 11.42 -38.017
40.18 10.34 11.32 -36.887
40.21 12.01 12.9 -36.379
41 11.92 12.61 -34.443
41.03 12.57 13.22 -33.759
41.06 13.38 14.34 -32.792
41.09 12.74 13.56 -32.158
41.12 13.73 14.2 -29.856
41.15 13.97 14.68 -26.745
41.18 13.66 14.58 -23.842
41.21 11.75 12.62 -22.446
42 11.97 12.42 -22.608
42.03 11.55 12.46 -21.906
42.06 11.7 12.36 -23.215
42.09 11.17 11.88 -23.391
42.12 11.51 12.05 -20.651
42.15 9.84 10.69 -19.18
42.18 8.66 9.35 -19.427
42.21 8.65 10.05 -21.991
43 10.97 12.08 -21.079
43.03 11.13 12.21 -21.143
43.06 10.67 11.64 -20.647
43.09 8.26 9.37 -20.739
43.12 5.124 8.36 -29.149
43.15 5.129 6.294 -27.598
43.18 5.435 6.707 -26.78
43.21 5.904 7.71 -25.896
44 6.587 7.94 -24.213
44.03 5.905 6.774 -24.184
44.06 5.843 6.804 -22.573
44.09 6.905 8.48 -22.009
44.12 9.24 11.04 -19.6
44.15 10.7 13.17 -19.682
44.18 14.45 15.82 -19.696
44.21 17.25 19.18 -15.354
45 17.66 19.55 -13.596
45.03 15.05 17.17 -12.639
45.06 13.38 15.52 -10.572
45.09 8.26 11.77 -11.147
45.12 7.84 9.09 -10.415
45.15 10.53 12.64 -10.75
45.18 14.28 15.13 -11.624
45.21 11.55 14 -8.934
46 12.56 18.7 -8.768
46.03 15.74 19.74 -11.234
46.06 16.42 26.07 -10.794
46.09 25.59 27.02 -11.709
46.12 23.39 27.22 -11.986
46.15 13.21 21.7 -18.902
46.18 10.18 13.66 -22.874
46.21 4.212 5.46 -28.467
47 3.267 4.302 -28.624
47.03 5.05 5.978 -28.204
47.06 4.266 5.02 -28.681
47.09 3.913 5.301 -27.115
47.12 4.879 5.884 -23.03
47.15 9.31 11.42 -23.004
47.18 8.66 11.95 -28.593
47.21 6.092 8.94 -30.245
48 6.85 9.11 -32.52
48.03 3.501 5.023 -34.91
48.06 4.582 6.725 -35.903
48.09 7.72 9.4 -34.947
48.12 8.38 9.6 -33.673
48.15 9.82 12.15 -32.563
48.18 11.98 13.85 -32.658
48.21 13.42 14.86 -30.97
49 14.66 15.35 -29.759
49.03 14.33 15.52 -29.051
49.06 15.27 16.31 -27.087
49.09 13.05 15.15 -24.438
49.12 13.23 14.36 -20.381
49.15 9.73 12.36 -19.408
49.18 6.889 9.09 -21.111
49.21 3.481 6.822 -28.779
50 3.906 6.059 -30.82
50.03 4.68 6.136 -31.354
50.06 3.889 5.186 -31.829
50.09 5.267 6.838 -34.375
50.12 5.642 6.551 -34.505
50.15 3.289 4.781 -32.817
50.18 3.321 3.941 -36.035
50.21 4.169 5.712 -34.726
51 5.759 6.459 -36.625
51.03 6.583 7.47 -38.735
51.06 8.17 9.03 -39.65
51.09 7.85 8.69 -39.185
51.12 6.853 7.4 -38.72
51.15 6.549 7.53 -39.773
51.18 7.65 8.54 -37.909
51.21 6.436 7.4 -37.195
52 7.67 9.81 -38.967
52.03 10.13 10.53 -38.669
52.06 11.21 12.38 -37.903
52.09 12.46 13.25 -37.602
52.12 12.82 13.96 -36.329
52.15 12.76 13.69 -34.614
52.18 11.93 13.35 -34.957
52.21 11.51 12.35 -34.361
53 10.54 11.66 -36.131
53.03 10.46 11.95 -37.537
53.06 10.39 11.8 -37.492
53.09 9.98 10.76 -39.34
53.12 9.79 10.9 -40.748
53.15 7.87 9.04 -39.402
53.18 7.31 8.56 -38.167
53.21 5.755 6.876 -39.371
54 6.095 6.949 -41.258
54.03 6.43 7.11 -41.139
54.06 6.928 7.88 -43.526
54.09 6.919 7.81 -44.951
54.12 6.582 7.8 -44.777
54.15 5.8 7.29 -43.381
54.18 4.931 6.007 -42.591
54.21 6.853 8.21 -39.742
55 10.11 11 -40.445
55.03 10.42 11.52 -39.526
55.06 8.7 10.38 -40.687
55.09 4.612 7.13 -38.474
55.12 1.861 4.164 -39.045
55.15 5.792 7.08 -38.246
55.18 6.838 8.48 -36.704
55.21 9.56 11.08 -36.283
56 9.8 11.29 -33.711
56.03 8.64 10.05 -31.99
56.06 7.57 10.61 -33.133
56.09 6.983 8.61 -34.378
56.12 6.153 7.85 -35.011
56.15 6.798 7.75 -35.375
56.18 5.528 7.35 -35.846
56.21 8.01 9.91 -37.479
57 7.01 8.69 -36.756
57.03 5.994 7.68 -38.973
57.06 7.11 8.27 -40.687
57.09 7.08 7.99 -39.926
57.12 6.57 7.55 -39.371
57.15 5.482 6.338 -39.185
57.18 6.227 7.03 -38.48
57.21 5.363 6.766 -38.417
58 5.78 7.23 -39.988
58.03 7.38 8.31 -37.81
58.06 8.49 9.46 -37.341
58.09 9.97 10.37 -37.189
58.12 11.68 12.5 -34.566
58.15 11.64 13.44 -31.191
58.18 13.27 13.54 -30.03
58.21 12.68 13.52 -28.779
59 13.23 14.37 -25.916
59.03 15.51 17.33 -23.125
59.06 15.02 17.54 -23.541
59.09 12.47 14.19 -23.897
59.12 12.32 13.03 -20.951
59.15 13.91 15.83 -17.205
59.18 14.27 15.54 -16.996
59.21 14.1 15.07 -18.755
60 14.77 16.03 -18.951
60.03 13.34 15.28 -20.1
60.06 12.78 15.04 -21.799
60.09 14.32 16.56 -20.725
60.12 13.99 15.21 -17.929
60.15 14.22 14.93 -15.987
60.18 14.13 15.2 -14.368
60.21 13.15 14.06 -14.996
61 12.12 13.43 -14.905
61.03 13.61 15.83 -12.222
61.06 15.11 15.86 -13.896
61.09 16.5 17.68 -13.678
61.12 14.98 16.6 -14.42
61.15 10.02 12.06 -15.052
61.18 10.59 13 -10.573
61.21 15.01 16.47 -11.733
62 17.94 20.3 -11.561
62.03 19.22 20.6 -9.8
62.06 19.24 20.95 -8.91
62.09 16.77 18.91 -8.599
62.12 16.75 18.8 -8.743
62.15 14.42 18.65 -7.09
62.18 9.46 12.28 -5.974
62.21 11.72 15.01 -7.368
63 18.1 19.76 -9.615
63.03 15.8 18.32 -9.568
63.06 15.7 16.89 -11.125
63.09 14.89 15.84 -11.473
63.12 14.36 15.3 -13.189
63.15 11.95 13.18 -11.817
63.18 11.16 12.9 -12.324
63.21 5.255 8.55 -13.189
64 5.919 8.23 -11.213
64.03 8.05 11.73 -16.285
64.06 12.09 15.93 -18.427
64.09 11.44 14.67 -19.801
64.12 8.2 9.46 -20.358
64.15 6.38 9.06 -17.526
64.18 2.905 4.766 -17.106
64.21 3.277 3.892 -21.038
65 3.828 4.763 -20.762
65.03 5.959 6.966 -19.739
65.06 8.54 9.22 -20.531
65.09 9.13 9.76 -21.516
65.12 8.48 9.07 -22.9
65.15 9.38 10.95 -20.577
65.18 8.02 9.24 -20.498
65.21 6.212 8.08 -24.33
66 6.24 7.17 -25.56
66.03 5.559 7.25 -27.629
66.06 4.936 6.458 -26.511
66.09 5.296 5.897 -26.296
66.12 4.244 5.932 -26.064
66.15 2.832 3.392 -25.333
66.18 0.764 2.166 -24.754
66.21 0 0 -25.904
67 0 0 -27.209
67.03 3.311 7.08 -29.048
67.06 7.63 9.27 -26.456
67.09 9.41 9.98 -25.948
67.12 8.75 10.17 -24.179
67.15 8.3 9.15 -23.584
67.18 7.18 9.13 -25.43
67.21 5.952 7.09 -27.295
68 7.86 8.27 -28.383
68.03 10.28 11.18 -28.334
68.06 10.8 12.21 -28.605
68.09 10.55 12.73 -28.349
68.12 10.39 12.38 -26.595
68.15 8.81 10.15 -25.05
68.18 7.52 9.15 -26.068
68.21 6.823 8.25 -28.897
69 6.998 7.85 -32.144
69.03 7.21 8.2 -33.88
69.06 7.06 7.77 -34.265
69.09 6.791 7.27 -34.235
69.12 6.955 7.68 -33.676
69.15 6.364 7.88 -32.357
69.18 6.484 7.67 -31.513
69.21 7.69 8.34 -32.901
70 9.01 10.01 -33.045
70.03 9.73 10.86 -32.75
70.06 10.7 11.95 -32.679
70.09 11.44 12.07 -32.204
70.12 13.04 14.72 -32.418
70.15 15.54 16.62 -29.1
70.18 15.48 16.86 -26.105
70.21 11.67 12.84 -23.847
71 8.41 9.38 -25.52
71.03 7.44 8.07 -26.36
71.06 4.419 5.84 -28.586
71.09 4.534 5.157 -30.348
71.12 4.738 6.097 -30.337
71.15 5.856 6.86 -30.791
71.18 5.324 6.393 -30.396
71.21 5.52 6.019 -32.055
72 4.903 5.634 -31.998
72.03 4.665 5.26 -34.899
72.06 3.707 4.11 -38.883
72.09 5.416 6.071 -40.445
72.12 6.286 6.807 -38.798
72.15 6.973 7.51 -36.471
72.18 7.3 7.67 -35.149
72.21 8.64 9.74 -37.153
73 10.96 12.14 -37.428
73.03 12.78 14.61 -36.441
73.06 12.38 13.74 -35.472
73.09 13.58 15.71 -35.479
73.12 13.86 15.29 -31.574
73.15 14.95 16.09 -28.131
73.18 15.78 17.85 -26.938
73.21 18.08 18.87 -28.1
74 17.51 18.51 -28.616
74.03 15.98 16.6 -27.478
74.06 13.83 15.53 -27.091
74.09 10.65 12.55 -27.146
74.12 9.34 10.44 -26.67
74.15 8.16 8.87 -24.766
74.18 6.746 7.91 -25.218
74.21 6.165 6.747 -29.247
75 6.832 7.49 -32.115
75.03 7.79 9.06 -30.846
75.06 8.71 10.16 -31.409
75.09 10.58 11.08 -30.835
75.12 11.76 12.54 -28.204
75.15 10 11.5 -22.796
75.18 8.96 9.67 -20.855
75.21 9.39 10.95 -21.875
76 10.2 11.32 -23.142
76.03 10.45 12.46 -20.711
76.06 10.47 12.28 -20.414
76.09 8.15 9.48 -22.097
76.12 7.71 8.83 -22.248
76.15 7.66 8.83 -20.447
76.18 6.813 7.99 -20.6
76.21 7.64 8.33 -22.168
77 8.14 9.46 -22.288
77.03 9.15 9.96 -22.23
77.06 9.91 11.05 -19.858
77.09 10.01 10.97 -19.73
77.12 8.51 9.67 -19.648
77.15 7.42 8.23 -17.909
77.18 6.288 6.962 -18.212
77.21 6.678 7.33 -19.437
78 6.521 6.988 -19.142
78.03 5.867 6.173 -19.533
78.06 5.189 5.966 -21.915
78.09 5.773 6.645 -21.826
78.12 6.929 8.02 -21.43
78.15 6.918 7.34 -20.409
78.18 6.363 6.898 -21.384
78.21 6.63 7.46 -23.766
79 8.12 9.3 -25.32
79.03 8.94 9.56 -26.34
79.06 10.18 10.89 -26.448
79.09 10.56 11.41 -25.827
79.12 9.4 10.26 -22.009
79.15 11.92 13.99 -22.569
79.18 9.48 11.93 -20.693
79.21 9.53 10.92 -21.732
80 9.66 11 -23.681
80.03 10.16 11.35 -24.795
80.06 10.01 12.13 -23.855
80.09 11.66 12.51 -23.601
80.12 11.23 12.25 -22.261
80.15 10.66 11.91 -20.081
80.18 8.93 9.57 -19.389
80.21 8.48 9.01 -21.198
81 9.27 10.07 -22.626
